user_id,question_id,time_spent_sec,question_difficulty,mcq_correct,past_correct_pct,skill_level
326,1554,46.51,5,0,0.475,4
141,11628,69.47,4,1,0.491,4
93,7519,52.12,3,1,0.288,4
474,11573,118.37,5,0,0.533,3
79,13896,45.86,3,1,0.719,3
404,13422,44.19,4,1,0.508,3
77,19917,51.35,3,1,0.464,4
373,11479,14.69,1,1,0.7,3
358,1590,42.03,4,0,0.783,2
112,6584,15.57,1,0,0.416,4
226,7222,28.0,2,1,0.637,3
93,16082,26.34,3,1,0.288,4
384,17338,36.95,5,0,0.467,4
105,9859,24.41,1,1,0.441,4
81,9099,19.63,2,1,0.868,2
215,15584,34.33,2,0,0.117,5
494,9914,42.67,3,0,0.384,4
365,18429,58.81,4,0,0.374,4
479,17582,24.56,1,0,0.711,3
452,17421,32.01,5,1,0.209,5
498,19705,13.67,1,0,0.534,3
116,7645,48.48,5,0,0.278,4
296,7117,19.68,2,0,0.487,4
252,14199,31.66,3,0,0.497,4
287,16665,39.21,5,0,0.77,2
176,4943,24.13,3,0,0.462,4
308,15827,30.95,2,0,0.688,3
257,13323,11.49,1,1,0.54,3
260,14353,18.41,1,1,0.751,2
313,2032,12.82,1,1,0.627,3
472,4738,33.54,3,0,0.396,4
57,7718,28.04,5,0,0.685,3
3,10089,62.82,4,0,0.145,5
479,8014,20.94,3,1,0.711,3
442,292,32.26,4,0,0.44,4
90,19365,26.92,1,0,0.462,4
103,15490,29.9,4,1,0.378,4
176,1464,23.86,2,1,0.462,4
386,14994,63.35,5,1,0.384,4
172,12415,42.09,4,1,0.853,2
235,6514,53.76,4,0,0.709,3
305,8082,36.18,4,1,0.541,3
356,7463,39.98,3,0,0.71,3
326,2019,38.44,3,1,0.475,4
376,16266,46.13,3,0,0.598,3
43,6880,48.04,5,0,0.412,4
287,12642,41.21,3,0,0.77,2
323,1034,32.87,3,0,0.644,3
348,17875,19.58,2,1,0.338,4
291,16949,18.72,2,1,0.337,4
303,5066,47.42,3,1,0.936,1
145,2234,58.23,3,0,0.443,4
323,10970,47.73,4,1,0.644,3
329,2766,8.33,1,1,0.412,4
109,18200,21.44,1,0,0.512,3
134,4233,24.84,2,1,0.338,4
421,4,23.37,3,0,0.45,4
24,18782,42.61,3,1,0.724,3
20,9960,40.78,4,0,0.802,2
83,12993,34.26,3,0,0.71,3
332,18881,29.32,2,1,0.592,3
17,12165,9.47,1,1,0.276,4
445,18279,21.52,3,1,0.349,4
446,14020,23.16,2,1,0.745,3
276,5733,19.82,2,1,0.462,4
37,19737,25.84,2,0,0.35,4
385,6958,48.45,3,0,0.589,3
495,9517,19.66,2,1,0.771,2
69,19508,49.14,4,0,0.66,3
460,3517,16.13,2,0,0.817,2
493,15924,44.51,3,0,0.599,3
310,6907,22.12,4,1,0.696,3
258,3607,17.21,1,1,0.272,4
29,13634,11.46,1,1,0.443,4
388,2987,41.65,2,0,0.5,3
445,18076,20.07,2,1,0.349,4
474,11869,21.44,2,1,0.533,3
408,10733,71.28,4,0,0.332,4
27,7387,93.5,5,0,0.614,3
88,10061,12.77,1,1,0.527,3
426,15667,28.19,5,0,0.265,4
102,13456,82.8,4,0,0.288,4
289,15910,27.25,3,1,0.848,2
76,12461,60.63,5,0,0.244,5
123,6520,12.76,1,1,0.629,3
337,7394,16.64,1,1,0.379,4
202,8729,49.6,5,0,0.353,4
426,3030,53.53,5,0,0.265,4
336,16649,32.66,1,1,0.657,3
267,16623,84.17,4,0,0.33,4
98,1144,22.78,2,1,0.599,3
54,112,41.52,4,0,0.223,5
284,8738,23.67,2,1,0.746,3
70,14534,33.12,2,1,0.166,5
68,14451,21.36,2,1,0.704,3
498,319,16.38,2,1,0.534,3
312,6549,32.27,3,1,0.508,3
41,18156,19.87,2,1,0.767,2
287,11512,48.89,4,0,0.77,2
206,15785,44.63,3,0,0.775,2
67,867,23.39,2,0,0.478,4
484,18742,43.92,3,1,0.659,3
127,2573,41.92,3,1,0.365,4
216,14805,14.94,1,1,0.35,4
217,8160,41.88,3,0,0.597,3
419,3558,62.31,4,0,0.561,3
75,13419,19.82,3,1,0.499,4
170,8377,38.87,3,0,0.805,2
393,17388,23.76,2,0,0.279,4
122,12354,44.26,4,1,0.731,3
449,4469,38.93,5,0,0.697,3
370,18677,9.52,1,0,0.592,3
489,10454,22.38,2,1,0.795,2
169,14974,77.29,5,0,0.484,4
30,5305,60.21,3,0,0.331,4
237,10141,13.03,2,1,0.287,4
23,9061,56.02,4,1,0.635,3
26,9388,48.02,4,0,0.313,4
429,3969,35.27,3,1,0.575,3
44,11197,40.25,4,0,0.377,4
301,17463,16.07,1,1,0.384,4
169,4434,65.48,3,1,0.484,4
74,4678,26.58,3,0,0.736,3
456,17492,35.39,3,1,0.822,2
455,13134,23.51,2,0,0.362,4
150,15895,40.02,4,1,0.785,2
484,8959,29.87,3,0,0.659,3
312,14222,88.66,4,1,0.508,3
308,3215,63.87,5,0,0.688,3
272,19397,47.06,4,0,0.529,3
174,19493,37.14,2,1,0.758,2
401,8375,43.5,4,1,0.575,3
378,7969,23.39,3,1,0.218,5
241,16452,20.83,1,1,0.255,4
20,10691,21.79,2,0,0.802,2
193,17697,55.48,4,0,0.416,4
15,7561,48.18,4,1,0.81,2
98,4302,47.45,4,1,0.599,3
391,7904,57.59,2,0,0.45,4
413,5055,21.47,2,1,0.638,3
476,18917,46.39,4,0,0.659,3
34,4579,34.62,4,1,0.347,4
292,14202,33.2,2,0,0.84,2
172,7995,34.24,3,0,0.853,2
389,13488,21.16,1,1,0.377,4
469,5469,32.67,2,1,0.548,3
455,17326,23.05,1,1,0.362,4
159,16667,23.45,2,1,0.254,4
180,17723,14.02,2,1,0.247,5
55,1028,46.5,2,1,0.61,3
77,3166,36.06,3,0,0.464,4
355,3251,50.11,3,0,0.585,3
215,4157,30.63,3,0,0.117,5
400,3934,66.02,4,0,0.543,3
263,15585,19.55,2,0,0.447,4
391,19405,18.97,2,0,0.45,4
248,18139,8.82,1,1,0.655,3
222,11003,16.82,2,1,0.706,3
68,18981,27.14,3,1,0.704,3
219,114,25.41,2,0,0.15,5
137,10607,18.33,1,1,0.403,4
496,11426,14.82,4,0,0.683,3
89,656,37.17,3,0,0.22,5
183,5700,59.58,3,0,0.402,4
379,7927,45.75,4,0,0.378,4
234,14799,20.45,2,1,0.86,2
257,5604,28.3,3,0,0.54,3
402,4307,78.66,3,1,0.465,4
252,18370,10.73,1,1,0.497,4
147,19173,33.28,3,0,0.459,4
126,1791,53.82,4,1,0.433,4
333,10220,41.58,2,0,0.437,4
330,19675,64.83,4,0,0.86,2
